Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	3	2	3	2	3	3	4	2	2	2	36	1	GB
2	2	4	1	2	1	1	4	4	4	2	19	3	US
2	2	4	3	4	2	2	3	4	4	1	19	1	US
3	4	2	4	2	1	2	4	4	3	1	16	1	US
4	4	1	3	1	3	3	2	2	1	1	39	3	US
3	3	2	3	3	3	2	3	3	3	2	24	1	US
4	2	2	1	4	2	2	3	1	1	1	18	1	US
4	4	3	4	1	3	3	3	2	2	2	42	3	GB
3	4	3	3	2	4	3	3	1	1	1	21	3	IN
3	3	2	3	4	2	2	3	4	3	2	24	3	IN
4	3	2	2	2	3	3	3	3	3	2	22	3	IT
3	2	3	3	4	3	3	3	4	4	2	16	3	US
3	3	3	2	3	1	1	3	3	3	1	21	1	GB
4	4	2	4	2	3	3	3	3	2	1	21	1	US
4	4	2	4	2	1	3	4	3	3	1	21	3	US
3	4	3	3	2	2	2	2	1	1	2	55	3	GB
4	4	1	4	1	3	3	3	1	1	1	39	1	US
3	3	1	4	1	2	3	4	1	1	2	37	1	DE
4	4	1	4	4	4	4	2	2	1	2	59	3	US
3	3	2	3	1	3	3	4	4	4	2	20	3	US
3	3	1	4	1	3	2	2	3	1	1	39	1	US
2	3	4	2	3	2	2	3	3	3	1	25	1	US
4	4	1	4	1	4	4	3	1	1	1	18	1	GY
3	3	3	2	3	2	1	3	3	2	2	36	1	NZ
3	3	2	3	3	3	3	3	3	3	2	42	1	US
2	3	2	3	2	2	2	4	4	3	2	29	3	AU
4	3	1	3	2	4	4	2	2	2	2	22	3	IN
4	4	2	3	2	3	4	2	2	2	2	19	3	US
3	3	1	3	1	3	3	3	3	2	1	24	3	IT
4	4	2	3	1	3	2	2	3	2	2	25	3	US
4	3	3	3	2	2	2	3	4	3	1	47	3	GB
4	4	2	3	1	3	3	2	2	2	2	53	1	CA
4	4	3	4	3	3	3	2	3	2	1	13	1	US
2	2	3	2	4	2	2	3	3	2	1	24	3	US
2	3	3	2	3	2	2	3	3	3	1	20	1	US
1	3	4	2	3	2	2	4	4	4	2	19	1	US
4	4	3	3	2	2	1	3	4	4	1	46	1	GB
1	2	4	2	4	2	1	3	4	4	1	30	3	FR
3	4	2	3	2	3	3	4	4	4	1	30	1	MY
3	3	3	3	3	2	1	4	4	3	1	60	3	US
3	4	2	3	2	4	3	2	2	1	1	45	1	GB
1	3	4	1	4	1	1	4	4	4	1	44	3	AU
4	4	1	4	1	4	4	1	4	1	2	55	3	BR
3	3	2	0	2	3	4	2	3	2	2	50	1	GB
3	3	2	2	2	1	3	4	3	3	2	29	1	GB
3	3	2	3	2	3	3	2	3	3	2	34	3	NZ
4	4	1	4	4	4	4	1	4	1	2	40	3	US
1	1	4	2	4	1	1	2	4	4	2	22	1	US
4	4	2	3	2	4	3	2	2	3	2	23	3	LT
4	4	2	3	4	4	3	1	0	1	1	36	3	IE
2	3	3	2	4	2	2	4	4	4	2	17	1	SG
3	3	2	2	2	3	3	3	4	2	1	48	3	CA
4	3	2	2	3	4	3	2	4	4	1	22	3	LV
4	4	2	4	1	3	3	2	2	1	2	28	1	MX
2	3	3	3	4	1	1	4	4	4	1	36	1	US
4	4	1	4	1	4	4	2	2	2	2	31	3	US
2	3	4	2	4	2	1	4	4	4	1	33	3	FR
3	3	2	3	2	3	3	2	3	2	2	58	3	US
3	4	1	4	3	4	3	3	2	3	1	16	3	IN
4	4	2	3	2	4	3	2	3	3	1	17	1	IN
3	3	3	2	2	2	2	3	4	4	1	44	1	GB
4	4	1	4	2	3	4	2	1	1	2	40	3	US
3	3	3	3	2	1	2	4	4	4	2	16	1	GB
3	3	3	3	4	3	2	3	3	3	1	37	1	GB
3	4	2	2	3	1	1	4	4	4	1	51	3	US
2	4	4	2	3	2	2	3	4	3	2	19	3	US
2	4	1	4	3	3	2	3	3	3	1	20	1	US
3	3	1	3	2	4	4	2	0	1	1	21	3	CA
3	4	1	3	2	4	4	2	1	1	2	24	3	US
4	4	2	4	2	3	2	3	3	3	2	29	1	US
4	4	1	4	1	4	3	1	1	1	2	23	3	US
4	4	1	3	1	3	3	2	2	1	1	40	3	GB
4	4	2	4	1	2	3	2	3	4	2	22	1	US
3	4	1	3	1	3	2	3	1	1	2	40	3	GB
