Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
4	4	2	4	1	3	3	3	2	2	2	42	3	DK
2	3	3	1	3	3	2	2	3	4	2	25	1	GB
4	4	1	4	1	4	4	1	1	1	1	18	1	US
4	4	3	3	2	4	2	2	2	1	1	63	1	US
3	4	1	3	1	4	4	1	1	1	2	20	3	US
2	3	2	3	3	2	2	3	3	4	2	15	1	US
3	3	3	2	3	2	2	3	4	4	2	22	1	IN
3	3	2	3	2	3	2	2	3	3	1	58	1	AU
2	3	3	2	3	2	1	3	4	4	1	20	1	SE
3	3	2	3	2	3	3	3	2	2	1	50	3	CN
3	4	2	2	4	2	4	4	4	2	1	50	1	AU
3	4	1	3	0	2	2	3	2	1	2	24	3	US
4	4	2	4	2	3	3	2	3	3	1	49	1	IE
3	4	1	4	1	3	3	2	1	1	2	36	1	GB
3	3	2	3	3	2	2	2	3	3	1	19	1	US
2	3	4	2	3	2	2	4	4	4	2	16	3	US
4	4	2	3	1	4	4	1	1	1	2	24	3	PL
3	3	3	4	2	2	2	4	3	3	1	39	1	US
4	4	2	3	1	4	4	1	1	1	1	44	3	CN
3	3	4	3	0	2	2	4	4	3	1	43	1	AU
3	3	3	3	2	3	2	3	3	2	2	37	3	AT
3	3	2	3	2	2	2	3	4	4	1	39	1	GB
3	3	1	3	1	4	4	2	2	2	2	23	1	NL
4	3	2	3	2	1	1	2	2	2	1	57	3	GB
2	3	3	3	1	1	2	3	4	4	1	20	3	GB
3	2	3	2	3	2	1	3	3	3	1	34	3	IT
2	3	3	4	3	2	2	4	3	3	1	30	3	DE
4	4	1	4	1	4	4	1	1	1	1	64	1	GB
2	3	2	3	3	1	1	4	3	3	2	54	3	GB
4	4	2	3	2	4	3	1	2	1	1	38	3	US
4	4	1	3	1	4	3	1	2	2	1	28	3	US
4	4	1	4	1	4	4	2	1	1	3	38	1	US
3	2	4	3	4	2	1	3	4	4	2	21	3	US
3	3	2	4	2	2	2	3	3	2	2	24	1	US
